,week_end,sumTotFul,sumTotPartially
0,2020-12-19,0.0,972.0
1,2020-12-26,0.0,1785.0
2,2021-01-02,0.0,1785.0
3,2021-01-09,853.0,1994.0
4,2021-01-16,1734.0,2516.0
5,2021-01-23,1737.0,5711.0
6,2021-01-30,2762.0,5591.0
7,2021-02-06,4068.0,4822.0
8,2021-02-13,5449.0,4343.0
9,2021-02-20,6112.0,4324.0
10,2021-02-27,8212.0,8411.0
11,2021-03-06,9136.0,11951.0
12,2021-03-13,9242.0,18176.0
13,2021-03-20,9561.0,29354.0
14,2021-03-27,9647.0,41597.0
15,2021-04-03,9663.0,69071.0
16,2021-04-10,9674.0,90920.0
17,2021-04-17,9674.0,113134.0
18,2021-04-24,9696.0,137727.0
19,2021-05-01,9665.0,161620.0
20,2021-05-08,9673.0,183911.0
21,2021-05-15,9881.0,215889.0
22,2021-05-22,10459.0,249731.0
23,2021-05-29,11446.0,278592.0
24,2021-06-05,17355.0,0.0
25,2021-06-12,25870.0,0.0
26,2021-06-19,46728.0,0.0
27,2021-06-26,79374.0,0.0
28,2021-07-03,108647.0,0.0
29,2021-07-10,154100.0,0.0
30,2021-07-17,194224.0,0.0
31,2021-07-24,234600.0,0.0
32,2021-07-31,268363.0,0.0
33,2021-08-07,298445.0,108925.0
34,2021-08-14,324030.0,87230.0
35,2021-08-21,348969.0,64949.0
36,2021-08-28,362859.0,53711.0
37,2021-09-04,371370.0,47553.0
38,2021-09-11,375906.0,45316.0
